n_estimators,dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
385,hastie,CF-Iso,7,0.9889730720543892,0.043130029474202844,0.8274688401089556,0.02694430075284504,0.00950785411507086,0.000535820953538581,1.9883253314015667e-05
385,hastie,CF-Iso,8,0.9823734876128288,0.05296873285865062,0.7880708146939592,0.0,0.46018322252579646,0.00017364599684626888,8.851918505869408e-06
385,hastie,CF-Iso,9,0.985602773826458,0.04711190130015661,0.8115188870459595,0.882779275154245,0.16713849552331717,0.00010190637938210941,2.0252107092509826e-07
410,hastie,CF-Iso,0,0.9817178882761074,0.054434440980592504,0.782107290150626,0.12097600463321811,0.5551157774238258,0.0005805049203180915,1.664588691576205e-05
410,hastie,CF-Iso,1,0.983270187844675,0.05145971203620218,0.7940731982300797,0.0,0.7473371813144316,0.00014139909602430356,4.530656725816313e-07
410,hastie,CF-Iso,2,0.982621302437871,0.05265878926640363,0.7893644684712182,0.771774457032738,0.10922367209246418,0.00010157676299830186,1.1591513008271084e-06
410,hastie,CF-Iso,3,0.9811056385869565,0.05572302186917693,0.7770302199421522,0.9085144029069544,0.594041211313129,6.728257788593169e-05,6.7086593756123925e-06
410,hastie,CF-Iso,4,0.985549243477004,0.047620756611975804,0.809413209632897,0.027824007970742137,0.7945563143124453,5.470477198495789e-05,5.4362643083662745e-06
410,hastie,CF-Iso,5,0.9865567319912218,0.04577874208265482,0.8168556471754387,0.0,0.14222108237806055,0.0006550604177541549,4.214036093103078e-06
410,hastie,CF-Iso,6,0.983896389638964,0.05082882652731668,0.796664360326766,0.0,0.3425983755081413,0.00028278213071553527,2.3603050687941194e-05
410,hastie,CF-Iso,7,0.9884601503385106,0.044094179348820185,0.8236119937723207,0.017696087916001746,0.04181010398443371,0.0006503115754073414,4.035332224720965e-05
410,hastie,CF-Iso,8,0.9816392996607131,0.053857089892926105,0.7845164766463171,0.0,0.2109375649804146,0.0002469030221010183,4.056699826100101e-06
410,hastie,CF-Iso,9,0.9839771514935988,0.050369706864486184,0.7984853477149824,0.0,0.8011467376426851,3.0206368032796592e-05,1.930162966809441e-08
